BALANCER 2025/05/02 04:42:23 interface.go:17: запуск сервера на :8080
BALANCER 2025/05/02 04:42:33 interface.go:17: Сервер http://localhost:8082 состояние: alive=true
BALANCER 2025/05/02 04:42:33 interface.go:17: Сервер http://localhost:8083 состояние: alive=true
BALANCER 2025/05/02 04:42:33 interface.go:17: Сервер http://localhost:8081 состояние: alive=true
BALANCER 2025/05/02 04:42:43 interface.go:17: Сервер http://localhost:8083 состояние: alive=true
BALANCER 2025/05/02 04:42:43 interface.go:17: Сервер http://localhost:8081 состояние: alive=true
BALANCER 2025/05/02 04:42:43 interface.go:17: Сервер http://localhost:8082 состояние: alive=true
BALANCER 2025/05/02 04:42:53 interface.go:17: Сервер http://localhost:8082 состояние: alive=true
BALANCER 2025/05/02 04:42:53 interface.go:17: Сервер http://localhost:8081 состояние: alive=true
BALANCER 2025/05/02 04:42:53 interface.go:17: Сервер http://localhost:8083 состояние: alive=true
BALANCER 2025/05/02 04:43:03 interface.go:17: Сервер http://localhost:8082 состояние: alive=true
BALANCER 2025/05/02 04:43:03 interface.go:17: Сервер http://localhost:8081 состояние: alive=true
BALANCER 2025/05/02 04:43:03 interface.go:17: Сервер http://localhost:8083 состояние: alive=true
BALANCER 2025/05/02 04:43:13 interface.go:17: Сервер http://localhost:8083 состояние: alive=true
BALANCER 2025/05/02 04:43:13 interface.go:17: Сервер http://localhost:8081 состояние: alive=true
BALANCER 2025/05/02 04:43:13 interface.go:17: Сервер http://localhost:8082 состояние: alive=true
BALANCER 2025/05/02 04:43:23 interface.go:17: Сервер http://localhost:8081 состояние: alive=true
BALANCER 2025/05/02 04:43:23 interface.go:17: Сервер http://localhost:8083 состояние: alive=true
BALANCER 2025/05/02 04:43:23 interface.go:17: Сервер http://localhost:8082 состояние: alive=true
BALANCER 2025/05/02 04:43:33 interface.go:17: Сервер http://localhost:8081 состояние: alive=true
BALANCER 2025/05/02 04:43:33 interface.go:17: Сервер http://localhost:8082 состояние: alive=true
BALANCER 2025/05/02 04:43:33 interface.go:17: Сервер http://localhost:8083 состояние: alive=true
BALANCER 2025/05/02 04:43:43 interface.go:17: Сервер http://localhost:8082 состояние: alive=true
BALANCER 2025/05/02 04:43:43 interface.go:17: Сервер http://localhost:8083 состояние: alive=true
BALANCER 2025/05/02 04:43:43 interface.go:17: Сервер http://localhost:8081 состояние: alive=true
BALANCER 2025/05/02 04:43:53 interface.go:17: Сервер http://localhost:8082 состояние: alive=true
BALANCER 2025/05/02 04:43:53 interface.go:17: Сервер http://localhost:8081 состояние: alive=true
BALANCER 2025/05/02 04:43:53 interface.go:17: Сервер http://localhost:8083 состояние: alive=true
BALANCER 2025/05/02 04:43:56 interface.go:17: Входящий запрос: GET /
BALANCER 2025/05/02 04:43:56 interface.go:17: Перенаправление на сервер: http://localhost:8081
BALANCER 2025/05/02 04:43:56 interface.go:17: Входящий запрос: GET /
BALANCER 2025/05/02 04:43:56 interface.go:17: Перенаправление на сервер: http://localhost:8081
